"estimate","Party","Name"
-2.62363684,"Democratic","Xochitl Torres Small"
-1.95229905,"Democratic","Harley Rouda"
-1.88846705,"Democratic","Vicente Gonzalez"
0.566010881435,"Republican","Phillip Aronoff"
2.79690678,"Republican","Steve Chabot"
1.322016889,"Republican","Vickie Yates Glisson"
1.214386165,"Republican","Steve Ferrara"
2.81276791,"Republican","Mike Kelly"
3.21179186,"Republican","Mark Meadows"
2.28347162,"Republican","Van Taylor"
2.51259923,"Republican","Andy Biggs"
0.07340187973,"Republican","Tom Hanson"
1.376887667,"Republican","John Rose"
1.019038659,"Republican","Nicolas Kimaz"
2.28179751,"Republican","Pete Stauber"
1.71381288,"Republican","Fred Upton"
0.5070742032,"Republican","Danny Postemski"
2.2609069,"Republican","Jeff Fortenberry"
1.565724363,"Republican","Daniel David"
2.04599057,"Republican","Bill Posey"
-2.50096464,"Green","Laura Wells"
2.41212225,"Republican","Francis Rooney"
1.92309727,"Republican","John Joyce"
2.26272973,"Republican","Greg Steube"
1.681765036,"Republican","Jeff Dove"
2.1010265,"Republican","Tom Emmer"
-0.401176712625,"Republican","Justin James Aguilera"
2.22788293,"Republican","John Robert Chrin"
2.42021176,"Republican","Keith Rothfus"
0.41584602139,"Republican","Omar Qudrat"
1.78068726,"Republican","Lea Marquez Peterson"
2.52247884,"Republican","Claudia Tenney"
2.97728287,"Republican","Arthur Robinson"
2.4366097,"Republican","Kevin McCarthy"
1.275673726,"Republican","Amie Hoeber"
0.349136142326,"Libertarian","Bryan Luke"
1.81942168,"Republican","Daniel Webster"
2.66751443,"Republican","Trey Hollingsworth"
1.43920678,"Republican","John Katko"
1.52433018,"Republican","David Joyce"
1.370251541,"Republican","Candius Stearns"
1.85926058,"Republican","Diane Harkey"
1.74838444,"Republican","Steven Negron"
2.49163066,"Republican","John Carter"
1.176884053,"Republican","Arthur Jones"
1.65338245,"Republican","Adam Kinzinger"
2.31776847,"Republican","Michael McCaul"
2.22372079,"Republican","Warren Davidson"
0.021948607732,"Republican","Douglas Bennett"
2.22734361,"Republican","Mike Bost"
1.358566653,"Republican","Christopher Peters"
2.45955038,"Republican","Ken Buck"
